"web-scraper-order","web-scraper-start-url","pagination","pagination-href","productlinks","productlinks-href","bookimg-src","title","medlemspris","pris","salgstext","ISBN"
"1629473425-909","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",2,"https://www.skalk.dk/webshoppen/?page=2&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788770170420.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629472009-335","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",10,"https://www.skalk.dk/webshoppen/?page=10&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788789531052.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629473422-892","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",3,"https://www.skalk.dk/webshoppen/?page=3&categories=18858&sort=alphabetical","DANSK KOLONI I INDIELAND
                          Medlemspris: 315,00 kr.
                          Pris: 349,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788799508679-dansk-koloni-i-indieland/",,"DANSK KOLONI I INDIELAND","Medlemspris: 315,00 kr.","Pris: 349,00 kr.","400 ÅRS JUBILÆUM.",
"1629471505-133","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",,,,,"/Media/DownloadetImages/9788793678736.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629472449-511","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",8,"https://www.skalk.dk/webshoppen/?page=8&categories=18858&sort=alphabetical","Kvindeeg og Mindesten i Jystrup
                          Medlemspris: 42,50 kr.
                          Pris: 50,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788771701739-kvindeeg-og-mindesten-i-jystrup/",,"Kvindeeg og Mindesten i Jystrup","Medlemspris: 42,50 kr.","Pris: 50,00 kr.",,
"1629471856-250","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",11,"https://www.skalk.dk/webshoppen/?page=11&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788711568347.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629473425-911","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",2,"https://www.skalk.dk/webshoppen/?page=2&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788712058304.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629472802-640","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",6,"https://www.skalk.dk/webshoppen/?page=6&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788799676514.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629473142-793","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",4,"https://www.skalk.dk/webshoppen/?page=4&categories=18858&sort=alphabetical","Et Danmark i splid med sig selv
                          Medlemspris: 280,00 kr.
                          Pris: 349,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788740662191-et-danmark-i-splid-med-sig-selv/",,"Et Danmark i splid med sig selv","Medlemspris: 280,00 kr.","Pris: 349,95 kr.","Et Danmark i splid med sig selv handler om den tyske besættelse og den allierede befrielse af Holbæk Amt 1940-45. Samarbejdet med Hitlers Tyskland blev forhandlet på plads af regeringer i København og Berlin og bestemte levevilkårene og handlemulighederne i Holbæk Amt. 
Holbæk Kaserne husede en stor del af den danske hær, og Isefjorden var kravlegård for den danske flåde. Beslutninger truffet i landets centrum splittede danskerne i Holbæk Amt, som måtte vælge mellem en lovlydig tilværelse i ro og orden eller gå i krig på tysk side som østfrontfrivillige eller gå til modstand for at smide tyskerne ud af landet. 
På grundlag af et righoldigt kildemateriale i private og offentlige arkiver og interviews med aktivister og aktivisters børn undersøges et geografisk udsnit af Danmark. Bogen belyser hele spektret af begivenheder: hverdagsliv, hær og politi, Frikorps Danmark, Schalburgkorps og Hipo, jødeaktion og holocaust, modstandsbevægelse, sabotageaktioner, våbenmodtagelser og likvideringer og retsopgør. 
Et Danmark i splid med sig selv skildrer de fem forbandede år ikke på det snævre nationale niveau, der begrænser sig til det to-sidede forhold mellem den tyske stormagt og den danske småstat. Perioden anskues i det større internationale perspektiv, hvor det personlige, der for almindelige mennesker uden politisk indflydelse udspilles lokalt, solidariserer sig aktivt med de værdier, de tror på.",
"1629472326-464","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",8,"https://www.skalk.dk/webshoppen/?page=8&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788789531007.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629472167-405","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",9,"https://www.skalk.dk/webshoppen/?page=9&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788740663402.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629472728-617","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",7,"https://www.skalk.dk/webshoppen/?page=7&categories=18858&sort=alphabetical","Karen Blixens kogebog
                          Medlemspris: 200,00 kr.
                          Pris: 249,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788750057680-karen-blixens-kogebog/",,"Karen Blixens kogebog","Medlemspris: 200,00 kr.","Pris: 249,95 kr.","Opskrifterne er præsenteret i en form, der gør det nemt at genskabe dem i et moderne køkken og genoplive Blixens gastronomi derhjemme, og de er alle ledsaget af en anekdote fra forfatterindens køkken.",
"1629471696-214","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",12,"https://www.skalk.dk/webshoppen/?page=12&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788797114230.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629471895-280","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",11,"https://www.skalk.dk/webshoppen/?page=11&categories=18858&sort=alphabetical","Svend, Bjørn og Pie
                          Medlemspris: 199,96 kr.
                          Pris: 249,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788740673494-svend-bjoern-og-pie/",,"Svend, Bjørn og Pie","Medlemspris: 199,96 kr.","Pris: 249,95 kr.","Svend, Bjørn og Pie – tre søskende i modstandskampen er beretningen om, hvordan tre unge familiemedlemmer bliver involveret i de første nedkastninger i Østjylland, hvordan de husede faldskærmsfolk og besætningsmedlemmer fra nedstyrtede engelske fly, og hvordan de siden deltog i opbygningen af en lang række sabotage- og nedkastningsgrupper. De stod for opbevaring og distribution af våben og sprængstoffer til hele landet og afholdt planlægningsmøder med modstandsbevægelsens ledelse.",
"1629472009-324","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",10,"https://www.skalk.dk/webshoppen/?page=10&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788793464407.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629473425-924","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",2,"https://www.skalk.dk/webshoppen/?page=2&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788763546843.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629472245-433","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",9,"https://www.skalk.dk/webshoppen/?page=9&categories=18858&sort=alphabetical","Nordbomønstre
                          Medlemspris: 210,00 kr.
                          Pris: 248,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788779342972-nordbomoenstre/",,"Nordbomønstre","Medlemspris: 210,00 kr.","Pris: 248,00 kr.","For snart hundrede år siden blev der ved en arkæologisk udgravning på Herjolfsnæs i Grønland gjort et sensationelt fund af tekstiler. Dette fund blev dengang betegnet som den største tekstil-historiske begivenhed i Europa. Heroppe højt mod nord havde man fulgt den europæiske mode ligesom tilfældet var sydpå i Europa. Med Herjolfsnæsfundet kunne man se velbevarede eksempler på middelalderens dragter, og se hvordan børn og voksne gik klædt for 8-900 år siden.",
"1629473267-838","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",3,"https://www.skalk.dk/webshoppen/?page=3&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788702250602.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629472326-469","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",8,"https://www.skalk.dk/webshoppen/?page=8&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788740658514.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629473116-779","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",4,"https://www.skalk.dk/webshoppen/?page=4&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788740650884.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629471673-189","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical","»","https://www.skalk.dk/webshoppen/?page=14&categories=18858&sort=alphabetical","Aarhus i årtier - 60'erne
                          Medlemspris: 280,00 kr.
                          Pris: 349,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788740618211-aarhus-i-aartier-60erne/",,"Aarhus i årtier - 60'erne","Medlemspris: 280,00 kr.","Pris: 349,95 kr.","Århus i 60’erne fortalt i billederDe danske byer forandrer sig i disse år med hastige skridt. Måske især i Aarhus, hvor gammelt rives ned og der bygges nyt som aldrig før. I en tid med store forandringer kan det være godt at kigge tilbage i tiden - på en svunden by, der så meget anderledes ud end det moderne Aarhus.I ”Aarhus i årtier” inviterer TURBINE, Den Gamle by og Stadsarkivet i Aarhus læserne med tilbage på en tidsrejse til en svunden tid. Bogen om Aarhus I 60’erne er andet bind i en planlagt storstilet serie på fire bøger om Aarhus' historie fortalt i billeder.Bogen fortæller om 60’ernes Århus. Et årti med voldsomme forandringer i bybilledet. Store gadegennembrud blev planlagt, men gudskelov forhindret  af bl.a. den fremsynede borgmester Bernhardt Jensen. Nye store boligområder opstod rundt om byen.Det er de billeder, denne bog præsenterer – her i blandt hidtil usete og unikke fotografier, der stammer fra billedsamlingerne i Den Gamle By og Aarhus.Bogen er redigeret og sat sammen af stadsarkivar Søren Bitsch Christensen fra Aarhus Stadsarkiv.”Aarhus i Årtier” vil udkomme med en stor lokal mediedækning og med opbakning fra Den Gamle By og Stadsarkivet, der flittigt vil fortælle om bogen via deres egne medier.“Dengang byen selv lavede øl og solen altid skinnede om sommeren. Vidunderlig bog om Aarhus i 1950' erne - fortalt i billeder”. Anmeldelse af bind 1 af serien i Aarhus Stiftstidende.",
"1629471812-243","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",12,"https://www.skalk.dk/webshoppen/?page=12&categories=18858&sort=alphabetical","The Hammerum Burial Site
                          Medlemspris: 270,00 kr.
                          Pris: 299,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788793423237-the-hammerum-burial-site/",,"The Hammerum Burial Site","Medlemspris: 270,00 kr.","Pris: 299,95 kr.",,
"1629471696-208","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",12,"https://www.skalk.dk/webshoppen/?page=12&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788702179101.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629473207-812","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",4,"https://www.skalk.dk/webshoppen/?page=4&categories=18858&sort=alphabetical","Dronning Margrethe
                          Medlemspris: 320,00 kr.
                          Pris: 399,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788711917046-dronning-margrethe/",,"Dronning Margrethe","Medlemspris: 320,00 kr.","Pris: 399,95 kr.","Karin Palshøj er journalist og forfatter. Hun er tidligere mangeårig vært og redaktør på DR og forfatter til flere bøger om kongehuset. I dag er hun ansat i mediekoncernen Egmonts kommunikationsafdeling.",
"1629471825-245","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",12,"https://www.skalk.dk/webshoppen/?page=12&categories=18858&sort=alphabetical","The  archaeology of medieval Europe Eighth to twelfth centuries AD
                          Medlemspris: 540,00 kr.
                          Pris: 600,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788779342880-the-archaeology-of-medieval-europe-eighth-to-twelfth-centuries-ad/",,"The  archaeology of medieval Europe Eighth to twelfth centuries AD","Medlemspris: 540,00 kr.","Pris: 600,00 kr.","The two volumes of The Archaeology of Medieval Europe will together comprise the first complete account of medieval archaeology across Europe. Archaeologists from academic institutions in fifteen countries are collaborating to produce these two books of sixteen thematic chapters each. In addition, every chapter will feature a number of ´box-texts´, by specialist contributors, highlighting sites or themes of particular importance. The books will be comprehensively illustrated throughout, in both colour and b/w, including line drawings and specially commissioned maps.

This ground-breaking set, which is divided chronologically into two (Vol. 1 extending from the Eighth to Twelfth Centuries AD, and Vol. 2 from the Twelfth to Sixteenth Centuries - to appear 2008), will enable readers to track the development of different cultures, and of regional characteristics, throughout the full extent of medieval Catholic Europe. In addition to revealing shared contexts and technological developments, the complete work will also provide the opportunity for demonstrating the differences that inevitably present across the Continent - from Iceland to Italy, and from Portugal to Finland - and to study why such existed.",
"1629472326-471","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",8,"https://www.skalk.dk/webshoppen/?page=8&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788740669763.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629473009-740","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",5,"https://www.skalk.dk/webshoppen/?page=5&categories=18858&sort=alphabetical","Genforeningen 1920
                          Medlemspris: 320,00 kr.
                          Pris: 399,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788711906682-genforeningen-1920/",,"Genforeningen 1920","Medlemspris: 320,00 kr.","Pris: 399,95 kr.","Bogen er i stort format og rigt illustreret.",
"1629473114-765","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",5,"https://www.skalk.dk/webshoppen/?page=5&categories=18858&sort=alphabetical","Nyhed
          
            
              
                                  
              
            
          
              Finkultur og mangfoldighed
                          Medlemspris: 340,00 kr.
                          Pris: 399,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788712064954-finkultur-og-mangfoldighed/",,"Finkultur og mangfoldighed","Medlemspris: 340,00 kr.","Pris: 399,95 kr.","Finkultur og mangfoldighed fortæller historien om dansk kulturpolitik fra oprettelsen af Kulturministeriet i 1961 frem til i dag med fokus på den konkrete lovgivning, politikkens betydning for kulturlivet og debatten på Christiansborg og i medierne.",
"1629473510-957","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",2,"https://www.skalk.dk/webshoppen/?page=2&categories=18858&sort=alphabetical","Da spaniolerne kom
                          Medlemspris: 180,00 kr.
                          Pris: 228,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788789531083-da-spaniolerne-kom/",,"Da spaniolerne kom","Medlemspris: 180,00 kr.","Pris: 228,00 kr.",,
"1629471566-153","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",,,"Bedraget - Sagen om Nordisk Fjer
                          Medlemspris: 212,50 kr.
                          Pris: 249,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788711481196-bedraget-sagen-om-nordisk-fjer/",,"Bedraget - Sagen om Nordisk Fjer","Medlemspris: 212,50 kr.","Pris: 249,95 kr.","BEDRAGET har siden september 2013 solgt mere end 25.000 eksemplarer. Bogen udkom til flotte anmeldelser og fyldig omtale i de trykte og elektroniske medier. Nu kommer bogen i softcover-udgave i forbindelse med 25-året for afsløringen af bedraget i Nordisk Fjer.",
"1629472957-714","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",5,"https://www.skalk.dk/webshoppen/?page=5&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788702257274.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629473267-829","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",3,"https://www.skalk.dk/webshoppen/?page=3&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788779344150.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629472497-542","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical","<","https://www.skalk.dk/webshoppen/?page=13&categories=18858&sort=alphabetical","Woven into the Earth
                          Medlemspris: 358,75 kr.
                          Pris: 398,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788772889351-woven-into-the-earth/",,"Woven into the Earth","Medlemspris: 358,75 kr.","Pris: 398,00 kr.","Erik den Rødes efterkommere, de norrøne grøn­lændere, beboede det sydvestlige Grønland i et halvt årtusinde indtil midten af 1400-årene, hvor de sidste nordboere af endnu uopklarede grunde forsvandt.",
"1629473094-762","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",5,"https://www.skalk.dk/webshoppen/?page=5&categories=18858&sort=alphabetical","Forladt
                          Medlemspris: 240,00 kr.
                          Pris: 299,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788711543535-forladt/",,"Forladt","Medlemspris: 240,00 kr.","Pris: 299,95 kr.",,
"1629472125-369","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",10,"https://www.skalk.dk/webshoppen/?page=10&categories=18858&sort=alphabetical","Poq den første grønlænder i Danmark som kom hjem
                          Medlemspris: 268,88 kr.
                          Pris: 299,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788793464407-poq-den-foerste-groenlaender-i-danmark-som-kom-hjem/",,"Poq den første grønlænder i Danmark som kom hjem","Medlemspris: 268,88 kr.","Pris: 299,00 kr.","Poq den første grønlænder i Danmark som kom hjem igen. Hans Egedes Mission i Grønland 1721-1729",
"1629471806-240","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",12,"https://www.skalk.dk/webshoppen/?page=12&categories=18858&sort=alphabetical","Thor-kult i vikingetiden
                          Medlemspris: 198,00 kr.
                          Pris: 248,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788763540735-thor-kult-i-vikingetiden/",,"Thor-kult i vikingetiden","Medlemspris: 198,00 kr.","Pris: 248,00 kr.","Forfatterens konklusioner tydeliggør, at vikingetidens førkristne religion ikke var en fast, uforanderlig størrelse, men en religion, der ændrede sig løbende over tid og sted i de trehundrede år, som vikingetiden varede. Samtidig viser han, at ældre tolkninger af kildematerialet til vikingetidens religion, der gentages i håndbøgerne til perioden, ofte bygger på antagelser og præmisser, der ikke længere er holdbare. Bogen er således relevant for historiske, arkæologiske og religionshistoriske studier af vikingetidens religion.",
"1629472125-376","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",10,"https://www.skalk.dk/webshoppen/?page=10&categories=18858&sort=alphabetical","Poq den første grønlænder i Danmark som kom hjem
                          Medlemspris: 268,88 kr.
                          Pris: 299,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788793464407-poq-den-foerste-groenlaender-i-danmark-som-kom-hjem/",,"Poq den første grønlænder i Danmark som kom hjem","Medlemspris: 268,88 kr.","Pris: 299,00 kr.","En af Palases unge disciple var Poq. Han blev bl.a. belønnet med fiskekroge, når han havde lært et bogstav.",
"1629472035-345","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",10,"https://www.skalk.dk/webshoppen/?page=10&categories=18858&sort=alphabetical","Ryd klosters årbog i kulturhistorisk belysning
                          Medlemspris: 126,00 kr.
                          Pris: 159,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788785160997-ryd-klosters-aarbog-i-kulturhistorisk-belysning/",,"Ryd klosters årbog i kulturhistorisk belysning","Medlemspris: 126,00 kr.","Pris: 159,00 kr.","Ryd Klosters Årbog. Nyoversat og kommenteret af Rikke Agnete Olsen.",
"1629471696-207","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",12,"https://www.skalk.dk/webshoppen/?page=12&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788702082302.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629473422-895","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",3,"https://www.skalk.dk/webshoppen/?page=3&categories=18858&sort=alphabetical","DANSK KOLONI I INDIELAND
                          Medlemspris: 315,00 kr.
                          Pris: 349,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788799508679-dansk-koloni-i-indieland/",,"DANSK KOLONI I INDIELAND","Medlemspris: 315,00 kr.","Pris: 349,00 kr.","Dansk koloni i Indieland er en historisk roman om 600 mænd, der i 1618 begiver sig ud på en utrolig rejse for at vinde ære og rigdom – og skaffe Christian den 4. en koloni i Ostindien.",
"1629471505-125","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",,,,,"/Media/DownloadetImages/9788702124378.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629471696-193","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",12,"https://www.skalk.dk/webshoppen/?page=12&categories=18858&sort=alphabetical",,,"/Media/DownloadetImages/9788774061090.jpg?width=280&heightratio=1&mode=boxpad",,,,,
"1629471761-228","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",12,"https://www.skalk.dk/webshoppen/?page=12&categories=18858&sort=alphabetical","Tomis-A
                          Medlemspris: 211,44 kr.
                          Pris: 249,00 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788702082302-tomis-a/",,"Tomis-A","Medlemspris: 211,44 kr.","Pris: 249,00 kr.","Tomis-A er det dæknavn, som den hemmelige sikkerhedstjeneste i Prag gav Niels Barfoed, da han i oktober 1986 rejste ind bag Jerntæppet på en hemmelig mission. I Prag blev Barfoed overvåget af mere end 30 ""skygger"" og blev til sidst arresteret, forhørt og en sen nat eskorteret til grænsen, kropsvisiteret og udvist til Vesttyskland. I Tjekkiet har man fornylig åbnet arkiverne fra kommunismens dage for enhver. De viste sig at rumme minutiøse rapporter om Barfoeds færden. Tomis-A er et møde med en fortid, der har slået dørene op, men også et møde med nutiden, med det moderne Tjekkiet og det, der kom ud af Murens fald. Barfoed har genset Martina, som han skabte problemer for dengang. Og han har opsøgt en af sine gamle ""skygger"", Vera, og prøvet at lære hende at kende. Og historien får nyt indhold. Fortiden er ikke forbi. Den stiller stadig spørgsmål. 'Guds møller maler ufortrødent', lyder et tjekkisk ordsprog. Det kunne være bogens motto.",
"1629472000-313","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",11,"https://www.skalk.dk/webshoppen/?page=11&categories=18858&sort=alphabetical","Sapiens: Menneskehedens fødsel
                          Medlemspris: 240,00 kr.
                          Pris: 299,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788711984406-sapiens-menneskehedens-foedsel/",,"Sapiens: Menneskehedens fødsel","Medlemspris: 240,00 kr.","Pris: 299,95 kr.","Denne graphic history er en genfortælling af første del af Sapiens - En kort historie om menneskeheden. Deter en dramatisk genfortælling af de første menneskers liv på Jorden fyldt med vid, humor og farverige karakterer. Det er også historien om, hvordan en ubetydelig abe kom til at herske over planeten og lærte at dele atomet, flyve til månen og manipulere livets genetiske kode.",
"1629471680-190","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical","»","https://www.skalk.dk/webshoppen/?page=14&categories=18858&sort=alphabetical","Aarhus i årtier – 1980'erne
                          Medlemspris: 280,00 kr.
                          Pris: 349,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788740618235-aarhus-i-aartier-1980erne/",,"Aarhus i årtier – 1980'erne","Medlemspris: 280,00 kr.","Pris: 349,95 kr.","I Aarhus i årtier inviterer Turbine, Den Gamle By og Stadsarkivet i Aarhus læserne med tilbage på en tidsrejse til en svunden tid. Bogen om Aarhus i 80’erne er fjerde og sidste bind i en storstilet serie på om Aarhus' historie fortalt i billeder.",
"1629472996-734","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",5,"https://www.skalk.dk/webshoppen/?page=5&categories=18858&sort=alphabetical","Gerhard von Kamptz – Bornholms sidste tyske kommandant
                          Medlemspris: 199,96 kr.
                          Pris: 249,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788740668247-gerhard-von-kamptz-bornholms-sidste-tyske-kommandant/",,"Gerhard von Kamptz – Bornholms sidste tyske kommandant","Medlemspris: 199,96 kr.","Pris: 249,95 kr.","I maj 1945 lå det meste af Rønne og Neksø i ruiner efter sovjetiske bombeangreb. Alle var dengang enige om, at skylden for ødelæggelserne lå hos den tyske besættelsesmagt og specielt på dens kommandant over øen, Gerhard von Kamptz, som i sin “fanatiske og forbryderiske stivnakkethed” havde nægtet at overgive øen til russerne. I tidens løb er synet på manden blevet mere nuanceret, for tingene var mere komplicerede, end man ville indrømme i 1945. Faktisk fremstår han i den seneste forskning som en ganske almindelig soldat, som handlede uangribeligt i den situation, han stod i.",
"1629472345-477","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",8,"https://www.skalk.dk/webshoppen/?page=8&categories=18858&sort=alphabetical","Med morfar ved kulkysten
                          Medlemspris: 112,50 kr.
                          Pris: 149,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788772183008-med-morfar-ved-kulkysten/",,"Med morfar ved kulkysten","Medlemspris: 112,50 kr.","Pris: 149,95 kr.",,
"1629472193-423","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",9,"https://www.skalk.dk/webshoppen/?page=9&categories=18858&sort=alphabetical","Ole Basse
                          Medlemspris: 212,50 kr.
                          Pris: 249,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788799881611-ole-basse/",,"Ole Basse","Medlemspris: 212,50 kr.","Pris: 249,95 kr.","Jeg fisker ikke for at leve. Jeg lever for at fiske”",
"1629472922-699","https://www.skalk.dk/webshoppen/?categories=18858&sort=alphabetical",6,"https://www.skalk.dk/webshoppen/?page=6&categories=18858&sort=alphabetical","Her findes et minde
                          Medlemspris: 225,00 kr.
                          Pris: 299,95 kr.
            
              
                Info","https://www.skalk.dk/webshoppen/produkter/imports/9788772374123-her-findes-et-minde/",,"Her findes et minde","Medlemspris: 225,00 kr.","Pris: 299,95 kr.","Rundtom i Danmark findes talrige mindesmærker og monumenter. Måske lægger vi mærke til dem, når vi kommer forbi, men kun i de færreste tilfælde kender vi baggrunden. Det råder denne bog bod på. Her fortælles nemlig historien bag i alt 101 udvalgte mindesmærker, og tilsammen bliver beretningen om de 101 mindesmærker til en mini-Danmarkshistorie, der begynder med bronzealderpigen fra Egtved og slutter i 1970’erne. Undervejs møder vi kongelige, adelige og gejstlige, der havde deres gang på slotte, borge og klostre. Men der findes også mindesten for folk, som ikke var specielt højt på strå. Mange af personerne og begivenhederne er for længst gået i glemmebogen, men takket være mindestenene og monumenterne kan de vækkes til live igen. Det viser sig, at historierne om dem dækker hele følelsesregistret fra det dybt tragiske til det muntre og finurlige.",
